3333,902,,,
3333,,902,,
8,,,1107,
1,,,,1200
6666,902,,,
6666,,902,,
16,,,1165,
2,,,,1200
9999,902,,,
9999,,902,,
24,,,1049,
3,,,,1200
13332,902,,,
13332,,902,,
32,,,1165,
4,,,,1200
16665,902,,,
16665,,902,,
40,,,1130,
5,,,,1200
19998,902,,,
19998,,902,,
48,,,1107,
6,,,,1200
23331,902,,,
23331,,902,,
56,,,1165,
7,,,,1200
26664,902,,,
26664,,902,,
64,,,1200,
8,,,,1200
29997,902,,,
29997,,902,,
72,,,1200,
9,,,,1200
33330,902,,,
33330,,902,,
80,,,1200,
10,,,,1200
36663,902,,,
36663,,902,,
88,,,1200,
11,,,,1200
39996,902,,,
39996,,902,,
96,,,1200,
12,,,,1200
43329,902,,,
43329,,902,,
104,,,1200,
13,,,,1200
